id,type,address,number,postal_code,municipality,province,location,public,available,hours,coord_x,coord_y,Latitude AED,Longitude AED
13.0,,Blvd. Fr. Roosevelt,24.0,7060,SOIGNIES,Hainaut,,Y,,,50.5937,4.05705,50.5937,4.05705
70.0,,Ch. De Wégimont,76.0,4630,Ayeneux,Liège,,,,,50.6245,5.720975,50.6245,5.720975
71.0,,Place Saint - Lambert,,4020,Liège,Liège,,,,,50.6468,5.616625,50.8413171,5.616625
72.0,,Rue du Doyard,,4990,Lierneux,Liège,,,,,50.3036,5.786733333333333,50.290641,5.786733333333333
73.0,,Fond Saint Servais,,4000,Liège,Liège,,,,,50.6524,5.552499999999999,50.647276000000005,5.570219402542373
74.0,,Rue des Prémontrès,12.0,4020,Liège,Liège,,,,,50.6468,5.616625,50.6468,5.616625
75.0,,Route de Bastogne,1.0,4920,Harzé,Liège,,,,,50.4667,5.6854,50.4667,5.6854
76.0,,Rue du Parc,1.0,4540,Jehay,Liège,,,,,50.5527,5.31632,50.5527,5.31632
77.0,,Blvd. De la Constitution,19.0,4020,Liège,Liège,,,,,50.6468,5.616625,50.6468,5.616625
78.0,,Place de la République française ,,4000,Liège,Liège,,,,,50.6524,5.552499999999999,50.6434974,5.572064739950166
79.0,,Rue Darchis,33.0,4020,Liège,Liège,,,,,50.6468,5.616625,50.6468,5.616625
86.0,,Schumanplein,11.0,1040,Brussel,Bruxelles-Brussel,,,,,50.8327,4.3884,50.8876431,4.3884
87.0,,Uitbreidingstraat,,2600,Berchem,Antwerpen,,,,,51.1902,4.4326,51.1971308,4.4300786
95.0,,Peperstraat,2.0,3300,TIENEN,Vlaams-Brabant,,Y,,,50.81495555555556,4.924133333333334,50.81495555555556,4.924133333333334
96.0,,Graafschap - Jettelaan,2.0,1090,Brussel,Bruxelles-Brussel,,,,,50.8731,4.3342,50.8829048,4.3319445
97.0,,Sint-Pieterskerstraat,,1090,Brussel,Bruxelles-Brussel,,,,,50.8731,4.3342,50.8731,4.3342
98.0,,Wemmelsestweg,100.0,1090,Brussel,Bruxelles-Brussel,,,,,50.8731,4.3342,50.8731,4.3342
100.0,,Rue Pietro Ferrero,5.0,6700,ARLON,Luxembourg,,N,,,49.686575000000005,5.7898499999999995,49.686575000000005,5.7898499999999995
101.0,,Tweestationsstraat,80.0,1070,Brussel,Bruxelles-Brussel,,,,,50.8362,4.3145,50.8319954,4.3239976
102.0,,Nieuwe Weg ,1.0,2070,ZWIJNDRECHT,Antwerpen,,Y,,,51.21185,4.33475,51.21185,4.33475
111.0,,Hermeslaan,2.0,1831,MachelenBt),Vlaams-Brabant,,,,,50.8973,4.4335,51.173288549999995,4.4335
115.0,,Gemeenteplein,1.0,3798,Voeren  s Gravenvoeren,Limburg,,Y,,,50.7587,5.7611,50.7587,5.924647480789121
116.0,,Remersdaal-Dorp,1.0,3791,Remersdaal,Limburg,,,,,50.7314,5.8806,50.7312646,5.8804549
117.0,,Sint-Pieterstraat ,20.0,3792,Sint-Pieters-Voeren,Limburg,,Y,,,50.7386,5.8222,50.7377904,5.8233447
118.0,,Kerkplein,1.0,3790,Moelingen,Limburg,,Y,,,50.75196666666667,5.769933333333333,50.75196666666667,5.769933333333333
119.0,,Gieveldstraat,,3793,Teuven,Limburg,,Y,,,50.7518,5.8757,50.7625781,5.8844909
120.0,,Kerkstraat,1.0,3790,VOEREN,Limburg,,Y,,,50.75196666666667,5.769933333333333,50.75196666666667,5.769933333333333
167.0,,Vanhalstraat,1.0,1500,Halle,Vlaams-Brabant,,y,,,50.7338,4.2345,50.7338,4.2345
170.0,,Brikkenovenstraat,48.0,3600,Genk,Limburg,,N,,,50.965,5.5008,50.9828415,5.4705658
214.0,,Rue de l église,,1150,Bruxelles,Bruxelles-Brussel,,,,,50.8551,4.3707,50.8551,4.3707
218.0,,Cours des mineurs,,4000,Liège,Liège,,,,,50.6524,5.552499999999999,50.6524,5.552499999999999
219.0,,Rue des Croisiers,15.0,4000,Liège,Liège,,,,,50.6524,5.552499999999999,50.6524,5.552499999999999
220.0,,Rue de l école technique ,,4040,Herstal,Liège,,,,,50.6642,5.6235,50.6642,5.6235
221.0,,Rue de Wallonie,30.0,4460,Bierset,Liège,,,,,50.6401,5.452583333333333,50.6401,5.452583333333333
222.0,,Rue Paul d Andrimont,24.0,4630,Micheroux,Liège,,,,,50.6245,5.720975,50.6245,5.720975
223.0,,Bd. Léon Philippet,83.0,4000,Liège,Liège,,,,,50.6524,5.552499999999999,50.6533568,5.5569417
224.0,,Rue du Commerce,14.0,4100,Seraing,Liège,,,,,50.57735,5.5187,50.57735,5.5187
225.0,,Rue Peetermans,80.0,4100,Seraing,Liège,,,,,50.57735,5.5187,50.57735,5.5187
226.0,,Rue J. Stassart,15.0,4367,Crisnée,Liège,,,,,50.70926,5.39984,50.70926,5.39984
227.0,,Route de Dinant,119.0,4020,Liège,Liège,,,,,50.6468,5.616625,50.6468,5.616625
228.0,,Rue de Huy,123.0,4300,Waremme,Liège,,,,,50.69627142857143,5.267071428571429,50.6619935,5.2595628
229.0,,Rue de Sélys,35.0,4300,Waremme,Liège,,,,,50.69627142857143,5.267071428571429,50.5955097,5.267071428571429
230.0,,Rue St. Pierre,48.0,4500,Huy,Liège,,,,,50.517566666666674,5.227133333333334,50.7451724,5.227133333333334
231.0,,Avenue Delchambre,6.0,4500,Huy,Liège,,,,,50.517566666666674,5.227133333333334,50.5227963,5.242103
232.0,,Rue Lambert Marlet,23.0,4020,Liège,Liège,,,,,50.6468,5.616625,50.6468,5.616625
233.0,,Rue Aux Laines,69.0,4800,Verviers,Liège,,,,,50.58286,5.85184,50.5891234,5.8552009
234.0,,Rue av. Peltzer,40.0,4020,Liège,Liège,,,,,50.6468,5.616625,50.6468,5.616625
235.0,,Route du Canada,157.0,4910,La Reid,Liège,,,,,50.52056666666667,5.8281,50.52056666666667,5.8281
238.0,,Route de Botrange,131.0,4950,Robertville,Liège,,,,,50.43785,6.1216,50.4829536,6.1104778
239.0,,Grand Route,317.0,4400,,Liège,,,,,50.6026875,5.4419375,50.6026875,5.4419375
240.0,,Avenue Montesquieu,6.0,4101,Jemeppe-sur-Meuse,Liège,,,,,50.617,5.4985,50.617,5.4985
242.0,,Rue Grand Puits,,4040,Herstal,Liège,,,,,50.6642,5.6235,50.6642,5.6235
259.0,,Rue de la Bouviere,1.0,4190,Vieuxville,Liège,,,,,50.405719999999995,5.60412,50.405719999999995,5.60412
275.0,,Da Vincilaan,,1930,Zaventem,Vlaams-Brabant,,,,,50.88275,4.490600000000001,50.88275,4.490600000000001
277.0,Appareil Mobile- Mobiel apparaat,Adriaan Brouwerstraat,24.0,2000,Antwerpen,Antwerpen,,,,,51.2199,4.4035,51.2199,4.4035
282.0,,Kempenarestraat,53.0,2860,Sint-Katelijne-Waver,Antwerpen,,Y,,,51.0669,4.5347,51.0636565,4.519447
310.0,,Koninginnelaan,1.0,8400,Oostende,West-Vlaanderen,,,,,51.20643333333334,2.9372666666666665,51.20643333333334,2.9372666666666665
311.0,,Northlaan,13.0,8400,Oostende,West-Vlaanderen,,,,,51.20643333333334,2.9372666666666665,51.2200147,2.8869792
312.0,,Kursaal - Oosthelling,12.0,8400,Oostende,West-Vlaanderen,,,,,51.20643333333334,2.9372666666666665,51.2319344,2.9129821
313.0,,Leopold Van Tyghemlaan,62.0,8400,Oostende,West-Vlaanderen,,,,,51.20643333333334,2.9372666666666665,51.2162601,2.8872277
315.0,,Wetstraat,23.0,1040,Brussel,Bruxelles-Brussel,,,,,50.8327,4.3884,50.8327,4.3884
316.0,,Grotesteenweg - Noord,9.0,9052,Gent,Oost-Vlaanderen,,,,,51.0008,3.7075,51.0142501,3.7070047
317.0,,Kunstlaan,16.0,3500,Hasselt,Limburg,,,,,50.915099999999995,5.32285,50.847765,5.32285
318.0,,Interleuvenlaan ,58.0,3001,Leuven,Vlaams-Brabant,,,,,50.8643,4.696,50.7484494,4.696
319.0,,Sint-Katelijnestraat ,154.0,2800,Mechelen,Antwerpen,,,,,51.046400000000006,4.468,51.0325835,4.4755605
320.0,,Hof ter Weze,1.0,8800,Roeselare,West-Vlaanderen,,,,,50.942375,3.14765,50.9244494,3.1196812
321.0,,Patersstraat,100.0,2300,Turnhout,Antwerpen,,,,,51.3225,4.9447,51.3286893,4.9498122
323.0,,Interleuven,58.0,3001,Leuven,Vlaams-Brabant,,,,,50.8643,4.696,50.882886850000006,4.696103101749733
328.0,, Ingelmunstersteenweg,11.0,8760,Meulebeke,West-Vlaanderen,,,,,50.9514,3.288,50.9445631,3.2776424
335.0,,Chaussée de Haecht,1405.0,1130,Bruxelles,Bruxelles-Brussel,,,,,50.8956,4.417,50.8662417,4.3748744
341.0,,Avenue du Bois St. Jean,21.0,4000,Liège,Liège,,,,,50.6524,5.552499999999999,50.5769971,5.5540105
344.0,,Keienpoelweg,6.0,3300,Tienen,Vlaams-Brabant,,Y,,,50.81495555555556,4.924133333333334,50.7949048,4.98838
346.0,,Avenue de Gaulle,2.0,7500,Tournai,Hainaut,,Y,,,50.58736666666667,3.3838666666666666,50.8513826,3.3838666666666666
